"institution.name","collection","object_number","object_category","object_name","title","description","creator","creator.role","production.place","production.period","production.date.start","production.date.start.prec","production.date.end","production.date.end.prec","material","material.part","dimension.part","dimension.value","dimension.unit","inscription.content","association.person","association.subject.type","association.subject","association.period"
"Industriemuseum","textiel","V08249","verfmachine","jigger","Jigger of verfmachine voor textiel","Rond 1904-1905 ontwikkelt Carl Gruschwitz uit het Duitse Zittau een machine om weefsels of stoffen te verven.  Ze heeft bovenaan een linkse en rechtse wals. Onderaan bevindt zich een verfbad met kleurstof. De te verven stof wordt onder spanning afwisselend van de linkse naar de rechtse wals gewikkeld. Bij iedere beurt loopt de stof door het verfbad, tot de kleurstof is uitgeput. De jigger is efficiënt maar veroorzaakt een groot volume aan afvalwater.","Haubold C.G. Jr.","fabrikant","Duitsland","begin 20ste eeuw","1905","","","","metaal","geheel","geheel","188","cm","","Haubold C.G. Jr.","onderwerp","textiel","begin 20ste eeuw"
"Industriemuseum","textiel","V04909","toonzaalmodellen","kwast passement","Gland of kwast met vorm, keel en rok","Kwast bestaande uit kabel, turkse knoop, chardon bouclé, olijf gesatineerd met tros. Keel: chardon bouclé. Rok: torse moulinée versierd met jasminen. Kleur: paars en goud.","onbekend","","","20ste eeuw","1900","ca.","1980","ca.","textiel","geheel","geheel","26","cm","","","onderwerp","textiel","20ste eeuw"
"Industriemuseum","textiel","V08198","machines voorbereiding spinnen","slagmachine","Slagmachine van het merk Platt","Slagmachine van de Engelse fabrikant Platt Brothers & Co. In de katoenspinnerij worden de balen ruwe katoen eerst geopend en gereinigd door de baalbreker en opener. Vanuit de automatische voeder gaan de katoenvlokken naar de slagmachine. Die is uitgerust met een klopper die de vezels nog verder opent en zuivert. De machine bevat tevens een oproltoestel om de katoenmassa onder de vorm van een samengeperste laprol van een welbepaalde lengte af te leveren.","Platt Brothers & Co Ltd","fabrikant","Oldham","einde 19de eeuw","1899","","","","metaal","geheel","geheel","140","cm","PLATT BROTHERS & C° / LIMITED / OLDHAM / 1899","Platt Brothers & Co Ltd","onderwerp","textiel","einde 20ste eeuw"
"Industriemuseum","textiel","V04098-001","toonzaalmodellen","embrasse passement","Vlakke embrasse om gordijn open te houden","Embrasse crête en forme. Uiteinden met lus. Kleur: roze en beige.","De Backer Passementerie","fabrikant","Brussel (stad)","20ste eeuw","1900","ca.","1990","ca.","textiel","gordijnophouder","geheel","75","cm","","","onderwerp","textiel","20ste eeuw"
"Industriemuseum","textiel","V04704","toonzaalmodellen","kwast passement","Gland of kwast met 4 vormen, keel en rok","Kwast bestaande uit korte kabel, bol gerold met guipure, trommel gerold, bol gerold met passé en croix. Keel: gesatineerde rol met rozetten. Rok: torse moulinée met draden en versierd met jasminen (vormpjes en moulinets). Kleur: beige, roze en groen.","De Backer Passementerie","fabrikant","Brussel (stad)","1ste helft 20ste eeuw","1900","ca.","1950","ca.","textiel","geheel","geheel","32","cm","","","onderwerp","textiel","1ste helft 20ste eeuw"
"Industriemuseum","drukkerij","V40054","zetmachines","loodzetmachine","Regelzetmachine van het merk Ludlow","Machine van het merk Ludlow Tyopgraph Company voor het gieten van tekst in loden regels. Speciaal geschikt voor het zetten van grote corpsen voor bijvoorbeeld titels en krantenkoppen.","Ludlow Typograph Company","fabrikant","Chicago (Illinois)","3de kwart 20ste eeuw","1967","","","","metaal","geheel","geheel","105","cm","CYCLES 50 / VOLTS 220 / PHASE 1 / LUDLOW TYPOGRAPH CO. / CHICAGO, ILL., U.S.A.","Ludlow Typograph Company","onderwerp","drukkerij","3de kwart 20ste eeuw"
"Industriemuseum","textiel","V04963","toonzaalmodellen","embrasse passement","Embrasse om gordijn open te houden met 2 kwasten","Embrasse bestaande uit kabel met sierknoop, twee kwasten: zogenaamde glands mèches. Kleur: groen en beige.","onbekend","","","20ste eeuw","1900","ca.","1980","ca.","textiel","gordijnophouder","geheel","31","cm","Export P.A. //","","onderwerp","textiel","20ste eeuw"
"Industriemuseum","textiel","V08204","machines voorbereiding spinnen","tussenspilbank","Tussenspilbank van het merk Platt","Tussenspilbank of middenspilbank van de Engelse fabrikant Platt Brothers & Co. De tussenspilbank is na de grove spilbank de tweede voorspinmachine in de katoenspinnerij. De wieken, dikke onregelmatige draden, worden op de tussenspilbank verder verfijnd. Twee grove wieken worden samen uitgerekt en getorst tot één fijnere wiek.","Platt Brothers & Co Ltd","fabrikant","Oldham","einde 19de eeuw","1898","","","","metaal","geheel","geheel","213","cm","PLATT / BROTHERS & Co / - LIMITED - / OLDHAM. 1898.","Platt Brothers & Co Ltd","onderwerp","textiel","einde 20ste eeuw"
"Industriemuseum","textiel","V04907","toonzaalmodellen","kwast passement","Gland of kwast met 2 vormen, keel en rok","Kwast bestaande uit galon, chardon bouclé, bol gesatineerd, chardon bouclé, bol gesatineerd met roulé-barré. Keel: chardon bouclé. Rok: bouclée. Kleur: blauw, roze en groen.","onbekend","","","20ste eeuw","1900","ca.","1980","ca.","textiel","geheel","geheel","58","cm","","","onderwerp","textiel","20ste eeuw"
"Industriemuseum","textiel","V04895-001","toonzaalmodellen","embrasse passement","Embrasse om gordijn open te houden met 2 kwasten","Embrasse bestaande uit kabel met schuifring, twee kwasten: chardon bouclé, flèche gerold met tros. Keel: chardon bouclé. Rok: torse moulinée. Kleur: beige en varia aan pasteltinten.","onbekend","","","20ste eeuw","1900","ca.","1980","ca.","textiel","gordijnophouder","geheel","65","cm","","","onderwerp","textiel","20ste eeuw"
